Ticker,Date/Time,Open,High,Low,Close,Volume,ZigZag05,ZigZag10,ZigZag15
S50IF_CONOI,09/08/2019 11:45:00,1092.1000,1092.7000,1091.5000,1092.5000,2425.0000,1090.8048,1088.0750,1088.0750
S50IF_CONOI,09/08/2019 12:00:00,1092.5000,1093.3000,1092.2000,1093.2000,3301.0000,1090.2429,1087.7231,1087.7231
S50IF_CONOI,09/08/2019 12:15:00,1093.2000,1093.4000,1092.0000,1092.1000,2244.0000,1089.6810,1087.3712,1087.3712
S50IF_CONOI,09/08/2019 14:15:00,1091.6000,1092.3000,1090.3000,1091.7000,4230.0000,1089.1190,1087.0193,1087.0193
S50IF_CONOI,09/08/2019 14:30:00,1091.7000,1092.2000,1090.6000,1091.0000,4239.0000,1088.5571,1086.6674,1086.6674
S50IF_CONOI,09/08/2019 14:45:00,1091.0000,1091.3000,1089.7000,1090.1000,6344.0000,1087.9952,1086.3154,1086.3154
S50IF_CONOI,09/08/2019 15:00:00,1090.1000,1090.5000,1086.8000,1087.9000,11177.0000,1087.4333,1085.9635,1085.9635
S50IF_CONOI,09/08/2019 15:15:00,1087.8000,1089.5000,1087.5000,1088.3000,6156.0000,1086.8715,1085.6116,1085.6116
S50IF_CONOI,09/08/2019 15:30:00,1088.4000,1088.5000,1086.8000,1087.0000,4582.0000,1086.3096,1085.2596,1085.2596
S50IF_CONOI,09/08/2019 15:45:00,1087.0000,1087.8000,1085.3000,1085.8000,7068.0000,1085.7477,1084.9077,1084.9077
S50IF_CONOI,09/08/2019 16:00:00,1085.8000,1086.6000,1085.3000,1085.5000,4074.0000,1085.1857,1084.5558,1084.5558
S50IF_CONOI,09/08/2019 16:15:00,1085.5000,1086.0000,1083.0000,1083.0000,9549.0000,1084.6238,1084.2039,1084.2039
S50IF_CONOI,09/08/2019 16:30:00,1083.0000,1084.2000,1082.0000,1083.5000,10821.0000,1084.0619,1083.8519,1083.8519
S50IF_CONOI,09/08/2019 16:45:00,1083.5000,1084.2000,1083.0000,1083.5000,6799.0000,1083.5000,1083.5000,1083.5000
